sentence,label
"Он начинает действовать открыто... подчеркивая, что выступает...",0
"Я видел машину, которую купил Петя, а Вася нет _.",1
"""We have no useful information on whether users are at risk,"" said James A. Talcott of Boston's Dana-Farber Cancer Institute.",0
"Мы купили ту книгу по математике после того, как он купил эту книгу по математике.",0
"Моя мать хочет новый компьютер, но моя мать ещё не знает, какого бренда компьютер она хочет.",0
"Я приправлю суп паприкой, а ты приправишь суп чёрным перцем.",1
"Преследовать и звать его он не захотел, он знал почему.",1
"Я собираюсь купить машину, а ты собираешься продать машину.",0
He had been a sales and marketing executive with Chrysler for 20 years.,0
"Петя перестал выходить покурать по утрам, а Вова перестала выходить покурить по вечерам.",1
"Все ненавидят наш дом, но любят их.",1
Отцу.,0
"Мне нравится эта песня, но не знаю почему.",1
"А он, даже если захочет, не сможет...",1
"He succeeds Terrence D. Daniels, formerly a W.R. Grace vice chairman, who resigned.",0
"""There's no question that some of those workers and managers contracted asbestos-related diseases,"" said Darrell Phillips, vice president of human resources for Hollingsworth & Vose.",0
"It employs 2,700 people and has annual revenue of about $370 million.",0
"Previously, Mr. Vitulli, 43 years old, was general marketing manager of Chrysler Corp.'s Chrysler division.",0
"Граница Финландии с Россией длинная, с Норвегией короткая, а со Швецией - средняя.",1
"В понедельник мы читали первую часть романа, и во вторник вторую.",1
"By 1997, almost all remaining uses of cancer-causing asbestos will be outlawed.",0
"Ольга уехала из своей страны в молодом возрасте, и Катя тоже.",1
"Павель играет на скрипке, Валерий на виолинчели и Петр на рояле.",1
"В пиццу всегда добавляю лук, а подруга всегда добавляет перец.",1
It has no bearing on our work force today.,0
"Nevertheless, said Brenda Malizia Negus, editor of Money Fund Report, yields ""may blip up again before they blip down"" because of recent rises in short-term interest rates.",0
"Они могут бегать быстрее, чем я могу бегать.",0
"Максиму нравится шоколад, а Вере нравятся конфеты.",1
"Ольга хорошо говорит по-немецки, и Катя тоже.",1
"Дмитрия же не застанет еще вернее, и ему предчувствовалось почему.",0
От кого же?,1
"Верю, да не знаю во что.",1
"Митя где-то будет праздновать день рождения, но не знаю где Митя будет праздновать день рождения.",0
"Я в первый раз там попробовал сало, а ты в первый раз там попробовала зразы.",1
"Я бросил кружку, а сестра бросила тарелку.",1
"Завтра я принесу лёд, а ты принесешь пиво.",1
"It invests heavily in dollar-denominated securities overseas and is currently waiving management fees, which boosts its yield.",0
"Каждый год он разбивает стакан, и его мать тоже.",1
More than a few CEOs say the red-carpet treatment tempts them to return to a heartland city for future meetings.,0
"Я страдаю, ты страдаешь. За что?",1
"Максиму нравится чай, а Вере нравится кофе.",1
Тогда какое мороженое хочешь!?,0
"В Украине сейчас борются с врагами, а в Америке друг с другом.",1
"Саша прочитал мою статью, а Дима прочитал твою.",1
"But for now, they're looking forward to their winter meeting--Boca in February.",1
"The plant, which is owned by Hollingsworth & Vose Co., was under contract with Lorillard to make the cigarette filters.",0
"Я сделал один бутерброд утром, и потом ещё один бутерброд сделал я вечером.",0
"The asbestos fiber, crocidolite, is unusually resilient once it enters the lungs, with even brief exposures to it causing symptoms that show up decades later, researchers said.",0
"Ольга уехала из своей страны в молодом возрасте, и Катя тоже уехала из своей страны в молодом возрасте.",0
"Я не готовлю так хорошо, как ты готовишь.",1
"The total of 18 deaths from malignant mesothelioma, lung cancer and asbestosis was far higher than expected, the researchers said.",0
"Каждый день утром он ест хлопья, и каждый день вечером он ест хлопья тоже.",0
"Жуков вёл свою аримию на Берлин с севера, а Конев с юга.",1
"Офицеры носят фуражку, а пехотинцы носят простые пилотки.",0
Конечно познакомил _.,1
