sentence,label
"Я ездила туда не только в те дни, когда танцевала.","Я ездила туда не только в те дни, когда танцевала."
"Я задал ему три вопроса, и тоже тебе.","Я задал ему три вопроса, и ___ тоже тебе."
"Довольно, не хочу!","Довольно, не хочу!"
"А он, даже если захочет, не сможет...","А он, даже если захочет, не сможет___"
"Да за что же, за что?","Да за что же, за что?"
Я в этом году.,Я в этом году.
"Я больше пью виски, чем он водку.","Я больше пью виски, чем он ___ водку."
"Павель играет на скрипке, Валерий на виолинчели и Петр на рояле.","Павель играет на скрипке, Валерий на виолинчели и Петр на рояле."
"Марина увидела что-то странное, но я не знаю что.","Марина увидела что-то странное, но я не знаю ___ что."
"В понедельник мы читали первую часть романа, и во вторник вторую.","В понедельник мы читали первую часть романа, и во вторник ___ вторую."
"Каждый пригласил кого-то танцевать, но я не помню, кто кого.","Каждый пригласил кого-то танцевать, но я не помню, кто ___."
"Плюньте и уйдите, вот почему.","Плюньте и уйдите, вот почему."
"Сегодня пойдём в бар, но мне ещё не сказали когда.","Сегодня пойдём в бар, но мне ещё не сказали, когда ___."
"Мы очень хотим путешествовать по Украине, но сейчас не можем.","Мы очень хотим путешествовать по Украине, но сейчас не можем."
"Человек описыавет какой-то город, но нам не ясно, какой.","Человек описывает какой-то город, но нам не ясно, какой."
"Там знали, что Крымов невиновен, a посадили.","Там знали, что Крымов невиновен, a ___ посадили."
"Жуков вёл свою аримию на Берлин с севера, а Конев с юга.","Жуков вёл свою аримию на Берлин с севера, а Конев ___ с юга."
"Я хотел чай из Китая, а не из Индии.","Я хотел чай из Китая, а не ___ из Индии."
"Ольга хорошо говорит по-немецки, и Катя тоже.","Ольга хорошо говорит по-немецки, и Катя ___ тоже."
"Она встала и ушла, а её парень не знал, почему.","Она встала и ушла, а её парень не знал, почему."
"Завтра я принесу лёд, а ты пиво.","Завтра я принесу лёд, а ты ___ пиво."
"Лидия переедет в Тверь, а её сестра в Новосибирьск.","Лидия переедет в Тверь, а её сестра ___ в Новосибирьск."
"Я умею управлять самолётом, но не вертолётом.","Я умею управлять самолётом, но не ___ вертолётом."
"Я читал историю про эльфов, а ты про гномов.","Я читал историю про эльфов, а ты ___ про гномов."
"Петя перестал выходить покурать по утрам, а Вова по вечерам.","Петя перестал выходить покурать по утрам, а Вова ___ по вечерам."
"Я не ем столько, как он.","Я не ем столько, как ___ он."
"Я хочу поехать за границу, но не знаю куда.","Я хочу поехать за границу, но не знаю, куда."
Я должен Мише позвонить или ты _?,Я должен Мише позвонить или ты ___?
"Как он убит, чем и как?","Как он убит, чем и ___?"
"Котята забавляются маленькими игрушками, а щенята большими.","Котята забавляются маленькими игрушками, а щенята ___ большими."
"Мы купили ту книгу по математике после того, как он купил эту.","Мы купили ту книгу по математике после того, как он купил ___ эту."
"Она считает его великолепным композитором, и он её.","Она считает его великолепным композитором, и он ___ её."
"Мои друзья поедут туда на самолёте, а я на машине.","Мои друзья поедут туда на самолёте, а я ___ на машине."
"Незнакомый вручил мне подарок, но не ясно почему.","Незнакомый вручил мне подарок, но не ясно, почему ___."
"Граница Финландии с Россией длинная, с Норвегией короткая, а со Швецией - средняя.","Граница Финландии с Россией длинная, с Норвегией ___ короткая, а со Швецией ___ средняя."
"Я в первый раз там попробовал сало, а ты зразы.","Я в первый раз там попробовал сало, а ты ___ зразы."
"Я думал, что никто не знает эту песню, а на самом деле Маша спела _.","Я думал, что никто не знает эту песню, а на самом деле Маша спела ___."
"Они смеются, но непонятно над кем.","Они смеются, но непонятно над кем."
