"Максиму нравится шоколад, а Вере конфеты.","Максиму нравится шоколад, а Вере нравятся конфеты."
"Никогда не хочу пользоваться духами, потому что дорого.","Никогда не хочу пользоваться духами, потому что пользоваться духами дорого."
"Ты в клубе пил, пил, играл и потом поехал… к кому?","Ты в клубе пил, пил, играл и потом поехал… к кому ты поехал?"
"Я не умею танцевать танго, но хочу.","Я не умею танцевать танго, но я хочу уметь танцевать танго."
"Я предпочитаю есть зразы с говядиной, а ты с свининой.","Я предпочитаю есть зразы с говядиной, а ты предпочитаешь есть зразы с свининой."
"Каждый год он разбивает стакан, и его мать тоже.","Каждый год он разбивает стакан, и его мать тоже каждый год разбивает стакан."
"Я приправлю суп паприкой, а ты чёрным перцем.","Я приправлю суп паприкой, а ты приправишь суп чёрным перцем."
"Он говорит с иностранным акцентом, но мы не знаем почему.","Он говорит с иностранным акцентом, но мы не знаем почему он говорит с иностранным акцентом."
"Он сказал, что Катя будет читать эту лекцию, а на самом дело Cережа будет.","Он сказал, что Катя будет читать эту лекцию, а на самом дело Cережа будет читать эту лекцию."
"А он, даже если захочет, не сможет...","А он, даже если он захочет, не сможет..."
"Она встала и ушла, а её парень не знал, почему.","Она встала и ушла, а её парень не знал, почему она встала и ушла."
"Моя мама в зоопарке всегда любит смотреть выдр, а мой папа пингвинов.","Моя мама в зоопарке всегда любит смотреть выдр, а мой папа в зоопарке всегда любит смотреть пингвинов."
Чем?,Чем убедиться же возможно?
"Я задал ему три вопроса, а ей только два.","Я задал ему три вопроса, а я задал ей только два вопроса."
"Я страдаю, ты страдаешь. За что?","Я страдаю, ты страдаешь. За что мы страдаем?"
"Мне нравится эта песня, но не знаю почему.","Мне нравится эта песня, но не знаю почему мне нравится эта песня."
"Мы учимся языкам, а все наши друзья бизнесу.","Мы учимся языкам, а все наши друзья учатся бизнесу."
"Нет, не для этого.","Нет, не для этого сошлись."
"Котята забавляются маленькими игрушками, а щенята большими.","Котята забавляются маленькими игрушками, а щенята забавляются большими игрушками."
"Я не ем столько, как он.","Я не ем столько, как он ест."
"Да, я распоряжусь, — решила она и, возвращаясь к прежним мыслям, вспомнила, что что-то важное, душевное было не додумано еще, и она стала вспоминать что.","Да, я распоряжусь, — решила она и, возвращаясь к прежним мыслям, вспомнила, что что-то важное, душевное было не додумано еще, и она стала вспоминать что было не додумано еще."
"Они смеются, но непонятно над кем.","Они смеются, но непонятно над кем они смеются."
"Моя мать хочет новый компьютер, но ещё не знает, какого бренда.","Моя мать хочет новый компьютер, но моя мать ещё не знает, какого бренда компьютер она хочет."
"Хотя мы хотели нарушить закон, мы не посмели.","Хотя мы хотели нарушить закон, мы не посмели нарушить закон."
Конечно познакомил _.,Конечно я познакомил Машу с Петей.
"Мне надо убрать гостиную сегодня, а тебе завтра.","Мне надо убрать гостиную сегодня, а тебе надо убрать гостиную завтра."
